DateKey,OrderNumber,ProductKey,CustomerKey,LocationKey,SalespersonKey,Quantity,UnitPrice,DiscountPct,Revenue,COGS,GrossProfit
20240101,100001,77,21,5,13,5,141.81,0.0,709.05,501.15,207.9
20240101,100002,16,28,3,7,3,314.01,0.15,942.02,797.22,144.8
20240101,100002,10,28,3,7,1,629.85,0.05,629.85,452.35,177.5
20240101,100002,73,28,3,7,5,499.92,0.0,2499.6,1350.45,1149.15
20240101,100003,65,98,5,13,2,529.25,0.0,1058.5,636.6,421.9
20240101,100003,10,98,5,13,4,663.0,0.0,2652.0,1809.4,842.6
20240101,100004,64,46,6,16,4,443.33,0.03,1773.32,1315.6,457.72
20240101,100004,79,46,6,16,4,431.11,0.0,1724.44,845.04,879.4
20240101,100004,61,46,6,16,3,890.58,0.0,2671.74,1413.42,1258.32
20240101,100005,99,220,1,1,2,573.29,0.15,1146.58,826.96,319.62
20240101,100006,82,144,4,12,4,855.98,0.03,3423.91,1894.84,1529.07
20240101,100007,51,259,4,11,6,189.82,0.0,1138.92,547.26,591.66
20240101,100007,95,259,4,11,5,231.03,0.15,1155.15,883.5,271.65
20240101,100007,92,259,4,11,1,522.87,0.08,522.87,406.96,115.91
20240101,100008,54,207,4,12,4,162.78,0.1,651.13,398.76,252.37
20240101,100008,68,207,4,12,5,596.63,0.0,2983.15,2138.7,844.45
20240101,100008,39,207,4,12,6,492.64,0.03,2955.86,1666.38,1289.48
20240101,100009,71,119,3,7,1,658.35,0.08,658.35,370.18,288.17
20240101,100010,45,38,5,15,1,192.92,0.1,192.92,130.47,62.44
20240101,100011,92,218,4,12,5,568.34,0.0,2841.7,2034.8,806.9
20240101,100011,64,218,4,12,2,457.04,0.0,914.08,657.8,256.28
20240101,100012,96,162,5,14,6,371.44,0.0,2228.64,1107.18,1121.46
20240101,100013,41,27,1,1,1,240.24,0.08,240.24,154.98,85.26
20240101,100013,68,27,1,1,2,536.97,0.1,1073.93,855.48,218.45
20240101,100013,4,27,1,1,10,480.58,0.15,4805.81,3669.9,1135.91
20240101,100014,26,103,3,8,10,380.26,0.0,3802.6,1972.7,1829.9
20240101,100015,47,62,3,8,2,775.3,0.0,1550.6,1062.84,487.76
20240101,100015,71,62,3,8,5,658.35,0.08,3291.76,1850.9,1440.86
20240101,100015,20,62,3,8,1,849.79,0.08,849.79,634.19,215.6
20240101,100015,69,62,3,8,10,647.76,0.0,6477.6,3971.4,2506.2
20240101,100016,30,193,5,13,4,684.86,0.03,2739.44,1908.68,830.76
20240102,100017,92,267,6,16,3,539.92,0.05,1619.77,1220.88,398.89
20240102,100017,45,267,6,16,1,207.92,0.03,207.92,130.47,77.45
20240102,100018,24,262,4,12,3,501.99,0.0,1505.97,761.34,744.63
20240102,100018,39,262,4,12,1,507.88,0.0,507.88,277.73,230.15
20240102,100019,27,8,6,18,1,585.04,0.0,585.04,349.42,235.62
20240102,100019,87,8,6,18,3,783.09,0.0,2349.27,1387.2,962.07
20240102,100019,98,8,6,18,2,486.44,0.03,972.87,641.96,330.91
20240102,100019,57,8,6,18,3,841.17,0.08,2523.5,1369.35,1154.15
20240102,100020,43,21,5,15,3,414.1,0.0,1242.3,853.86,388.44
20240102,100021,9,263,1,3,2,188.7,0.0,377.4,215.52,161.88
20240102,100021,33,263,1,3,3,796.78,0.1,2390.34,1756.26,634.08
20240102,100022,53,196,2,5,5,640.2,0.05,3201.02,2208.1,992.92
20240102,100022,98,196,2,5,2,476.41,0.05,952.81,641.96,310.85
20240102,100022,64,196,2,5,3,443.33,0.03,1329.99,986.7,343.29
20240102,100023,6,62,1,3,3,347.32,0.1,1041.96,681.69,360.27
20240102,100023,54,62,1,3,1,175.44,0.03,175.44,99.69,75.75
20240102,100024,85,223,1,1,2,282.79,0.0,565.58,378.36,187.22
20240102,100024,75,223,1,1,6,326.36,0.05,1958.18,1054.08,904.1
20240102,100024,14,223,1,1,2,156.41,0.08,312.82,174.6,138.22
20240102,100025,23,66,5,15,4,862.57,0.05,3450.29,2506.76,943.53
20240102,100026,38,51,4,11,6,235.92,0.05,1415.54,1039.02,376.52
20240102,100026,67,51,4,11,3,183.55,0.0,550.65,374.49,176.16
20240102,100026,29,51,4,11,6,85.29,0.08,511.76,384.24,127.52
20240102,100026,53,51,4,11,1,619.99,0.08,619.99,441.62,178.37
20240102,100027,29,198,4,11,10,89.93,0.03,899.29,640.4,258.89
20240102,100027,84,198,4,11,1,691.81,0.08,691.81,435.25,256.56
20240102,100027,94,198,4,11,2,502.9,0.15,1005.8,713.22,292.58
20240102,100028,10,247,6,18,6,609.96,0.08,3659.76,2714.1,945.66
20240102,100029,67,206,5,13,2,178.04,0.03,356.09,249.66,106.43
20240102,100029,49,206,5,13,1,838.84,0.05,838.84,603.69,235.15
20240102,100030,29,141,2,4,3,89.93,0.03,269.79,192.12,77.67
20240102,100030,74,141,2,4,1,598.68,0.03,598.68,419.1,179.58
20240102,100031,82,49,6,17,3,838.33,0.05,2514.98,1421.13,1093.85
20240102,100032,91,42,5,15,3,823.13,0.08,2469.4,1362.69,1106.71
20240102,100032,10,42,5,15,10,663.0,0.0,6630.0,4523.5,2106.5
20240102,100032,61,42,5,15,10,890.58,0.0,8905.8,4711.4,4194.4
20240102,100033,65,65,1,3,1,529.25,0.0,529.25,318.3,210.95
20240102,100034,31,96,5,14,3,156.84,0.0,470.52,279.51,191.01
20240102,100034,80,96,5,14,1,815.12,0.05,815.12,455.11,360.01
20240102,100035,40,138,5,14,3,477.63,0.1,1432.89,1040.61,392.28
20240102,100035,72,138,5,14,1,658.38,0.05,658.38,366.52,291.86
20240102,100036,91,52,5,15,3,849.97,0.05,2549.92,1362.69,1187.23
20240103,100037,66,34,3,9,1,774.26,0.08,774.26,581.56,192.7
20240103,100037,43,34,3,9,10,414.1,0.0,4141.0,2846.2,1294.8
20240103,100037,70,34,3,9,4,822.88,0.08,3291.5,1832.6,1458.9
20240103,100037,34,34,3,9,6,668.12,0.03,4008.7,2379.42,1629.28
